trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20220101,0900,8645,8526
20220101,0910,996,1243
20220101,0920,1369,1711
20220101,0930,3663,4535
20220101,0940,1532,1845
20220101,0950,1319,1343
20220101,0960,7138,8228
20220101,0970,4616,5277
20220101,0980,9418,8806
20220101,0990,12266,10553
20220101,1000,66442,48815
20220101,1010,3443,3330
20220101,1020,26366,23999
20220101,1030,1958,2059
20220101,1040,12337,14532
20220101,1050,1038,1170
20220101,1060,1405,1679
20220101,1070,7345,8169
20220101,1080,24991,31095
20220101,1090,6704,8271
20220101,1100,24577,28729
20220101,1110,4329,5086
20220101,1120,3601,4256
20220101,1130,1513,1870
20220101,1140,67,173
20220101,1150,465,548
20220101,1160,2946,3188
20220101,1170,5107,6152
20220101,1180,3733,4032
20220101,1190,1341,1552
20220101,1191,263,278
20220101,1192,1295,1431
20220101,1193,704,819
20220101,1194,3093,2345
20220101,1201,62,84
20220101,1202,147,125
20220101,1203,777,755
20220101,1204,97,96
20220101,1205,40,56
20220101,1206,299,448
20220101,1207,51,110
20220101,1208,1761,1554
20220101,1210,20655,22460
20220101,1220,755,797
20220101,1230,527,559
20220101,1240,266,311
20220101,1250,6768,7866
20220101,2110,53,64
20220101,2120,71,78
20220101,2130,683,890
20220101,2140,25,25
20220101,2150,904,851
20220101,2160,84,73
20220101,2170,761,863
20220101,2180,1316,1532
20220101,2190,253,267
20220101,2200,3391,3461
20220101,2210,68,97
20220101,2220,1057,1157
20220101,2230,2697,2847
20220101,2240,425,461
20220101,2250,549,527
20220101,2260,4325,479
20220101,3140,224,259
20220101,3150,892,843
20220101,3160,4339,4871
20220101,3170,84,102
20220101,3180,948,1137
20220101,3190,784,944
20220101,3210,929,1011
20220101,3220,2859,2732
20220101,3230,8560,9231
20220101,3240,805,806
20220101,3250,2800,2772
20220101,3260,556,507
20220101,3270,2299,1792
20220101,3280,2364,2259
20220101,3290,1293,1299
20220101,3300,34398,32633
20220101,3310,1498,1251
20220101,3320,2750,2366
20220101,3330,911,923
20220101,3340,7769,6468
20220101,3350,782,4639
20220101,3360,14502,16641
20220101,3370,1160,1363
